ID attività,Data dell’attività,Nome attività,Tipo attività,Descrizione dell’attività,Tempo trascorso,Distanza,Frequenza cardiaca massima,Sforzo relativo,Tragitto pendolare,Nota privata sulle attività,Attrezzatura attività,Nome del file,Peso dell’atleta,Peso della bici,Tempo trascorso,Tempo in movimento,Distanza,Velocità massima,Velocità media,Dislivello positivo,Dislivello negativo,Dislivello minimo,Dislivello massimo,Pendenza massima,Pendenza media,Pendenza positiva media,Pendenza negativa media,Cadenza massima,Cadenza media,Frequenza cardiaca massima,Frequenza cardiaca media,Watt massimi,Watt medi,Calorie,Temperatura massima,Temperatura media,Sforzo relativo,Lavoro totale,Numero di corse,Tempo in salita,Tempo in discesa,Altro tempo,Sforzo percepito,Tipo,Ora di inizio,Potenza media ponderata,Conteggio potenza,Usa Sforzo percepito,Sforzo relativo percepito,Tragitto pendolare,Peso totale sollevato,Da caricamento,Distanza regolata in base alla pendenza,Ora osservazione meteorologica,Condizioni meteorologiche,Temperatura atmosferica,Temperatura apparente,Punto di rugiada,Umidità,Pressione atmosferica,Velocità del vento,Raffica di vento,Direzione del vento,Intensità precipitazione,Ora dell’alba,Ora del tramonto,Fase lunare,Bicicletta,Attrezzatura,Probabilità di precipitazione,Tipo di precipitazione,Copertura nuvolosa,Visibilità,Indice UV,Livelli di ozono,Numero di salti,Grit totale,Flow medio,Segnalato,Velocità media (tempo trascorso),Distanza su sterrato,Nuova distanza da terra esplorata,Distaza da terra esplorata,Numero di attività,Passi totali,Risparmio di carbonio,Lunghezza piscina,Carico di allenamento,Intensità,Passo in base alla pendenza medio,File multimediali
178793591,"11 ago 2014, 16:27:28",Corsa serale,Corsa,"",3058,"9,62",,,false,,"",activities/178793591.gpx,63.0,,3058.0,3054.0,9625.900390625,9.199999809265137,,286.38800048828125,,377.29998779296875,597.0999755859375,34.0,-0.019738400354981422,,,,,,,,,805.1162719726562,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,453484.0,,,,,,,,,,,,,,,,,,,,,,""
186175482,"27 ago 2014, 18:25:05",Sfogo dopo aver perso una lacustre,Ciclismo,,250,"1,77",,,false,,,activities/186175482.gpx,63.0,,250.0,250.0,1772.199951171875,10.300000190734863,,16.700000762939453,,348.3999938964844,365.5,7.400000095367432,0.10156899690628052,,,,,,,,142.99600219726562,39.86013412475586,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
233302107,"27 dic 2014, 10:17:37",Corsa panettone,Corsa,,2740,"6,48",,,false,,"",activities/233302107.gpx,63.0,,2740.0,2702.0,6488.7001953125,5.699999809265137,,91.41300201416016,,320.3999938964844,382.1000061035156,19.100000381469727,-0.044693101197481155,,,,,,,,,513.6795043945312,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,453484.0,,,,,,,,,,,,,,,,,,,,,,""
234111037,"29 dic 2014, 11:53:26",Corsa all'ora di pranzo,Corsa,,1554,"5,74",,,false,,"",activities/234111037.gpx,63.0,,1554.0,1548.0,5740.2998046875,21.399999618530273,,12.324999809265137,,223.0,238.5,7.199999809265137,-0.027873100712895393,,,,,,,,,445.6234436035156,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,453484.0,,,,,,,,,,,,,,,,,,,,,,""
239191311,"10 gen 2015, 15:19:27",Corsa pomeridiana,Corsa,,1790,"5,11",,,false,,"",activities/239191311.gpx,63.0,,1790.0,1754.0,5111.2998046875,6.300000190734863,,188.58599853515625,,376.1000061035156,533.5,26.899999618530273,0.36194300651550293,,,,,,,,,441.11834716796875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,453484.0,,,,,,,,,,,,,,,,,,,,,,""
257484303,"20 feb 2015, 15:40:18",Corsa pomeridiana,Corsa,,2102,"6,05",,,false,,"",activities/257484303.gpx,63.0,,2102.0,1997.0,6056.89990234375,7.0,,207.38699340820312,,376.29998779296875,521.7999877929688,27.200000762939453,-0.034671198576688766,,,,,,,,,516.5900268554688,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,453484.0,,,,,,,,,,,,,,,,,,,,,,""
317597891,"03 giu 2015, 17:14:58",Monte Generoso,Ciclismo,"",7004,"29,38",,,false,,Fondriest superfast,activities/317597891.gpx,63.0,20.0,7004.0,6254.0,29381.80078125,23.799999237060547,,1195.469970703125,,317.3999938964844,1168.9000244140625,46.599998474121094,-0.17459799349308014,,,,,,,,194.9770050048828,1359.6156005859375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2138816.0,,,,,,,,,,,,,,,,,,,,,,,""
324614953,"13 giu 2015, 14:01:57",Giro valle di Muggio,Ciclismo,"Pioggia e tombini viscidi 
Prima caduta con acrobazia ;)",9853,"40,77",,,false,,Fondriest superfast,activities/324614953.gpx,63.0,20.0,9853.0,7356.0,40772.5,16.0,,2122.2900390625,,317.3999938964844,899.9000244140625,49.79999923706055,-0.00024526301422156394,,,,,,,,219.49899291992188,1800.317626953125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2138816.0,,,,,,,,,,,,,,,,,,,,,,,""
337759070,"02 lug 2015, 17:44:39",A spasso con la canicola,Ciclismo,"Fondriest copertone rosso

Generoso stupendo!!",5863,"30,73",,,false,,Fondriest superfast,activities/337759070.gpx,63.0,20.0,5863.0,5705.0,30732.69921875,22.600000381469727,,1240.1800537109375,,317.3999938964844,1170.9000244140625,49.29999923706055,-0.0048807901330292225,,,,,,,,219.9250030517578,1398.95947265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2138816.0,,,,,,,,,,,,,,,,,,,,,,,""
338137880,"31 mag 2015, 16:07:55",Giro Generoso 1,Ciclismo,"",6600,"30,00",,,false,,Fondriest superfast,,65.0,20.0,6600.0,6600.0,30000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2138816.0,,,,,,,,,,,,,,,,,,,,,,,""
